"id","pos_id","position_name","subposition","status","code","order_id","type_code","gcode","level_edu","duration_typ","csbanew"
"277","9022014004654","BHANGA","FARIDPUR",,"Thana","277",,,,,
"278","9022014011709","BOALMARI","FARIDPUR",,"Thana","278",,,,,
"279","9022014003405","CHARBHADRASAN","FARIDPUR",,"Thana","279",,,,,
"280","9022014012853","FARIDPUR SADAR","FARIDPUR",,"Thana","280",,,,,
"281","9022014008939","MADHUKHALI","FARIDPUR",,"Thana","281",,,,,
"282","9022014012108","NAGARKANDA","FARIDPUR",,"Thana","282",,,,,
"283","9022014011632","SADARPUR","FARIDPUR",,"Thana","283",,,,,
"284","9022014012569","SALTHA","FARIDPUR",,"Thana","284",,,,,
"285","9022014005123","GAZIPUR SADAR","GAZIPUR",,"Thana","285",,,,,
"286","9022014012847","KALIAKAIR","GAZIPUR",,"Thana","286",,,,,
"287","9022014005605","KALIGANJ","GAZIPUR",,"Thana","287",,,,,
"288","9022014005980","SREEPUR","GAZIPUR",,"Thana","288",,,,,
"289","9022014006554","GOPALGANJ SADAR","GOPALGONJ",,"Thana","289",,,,,
"290","9022014010963","KASHIANI","GOPALGONJ",,"Thana","290",,,,,
"291","9022014012860","KOTALIPARA","GOPALGONJ",,"Thana","291",,,,,
"292","9022014008869","MUKSUDPUR","GOPALGONJ",,"Thana","292",,,,,
"293","9022014011118","TUNGIPARA","GOPALGONJ",,"Thana","293",,,,,
"294","9022014010656","BAKSHIGANJ","JAMALPUR",,"Thana","294",,,,,
"295","9022014007604","DEWANGANJ","JAMALPUR",,"Thana","295",,,,,
"296","9022014012272","ISLAMPUR","JAMALPUR",,"Thana","296",,,,,
"297","9022014004162","JAMALPUR SADAR","JAMALPUR",,"Thana","297",,,,,
"298","9022014006114","MADARGANJ","JAMALPUR",,"Thana","298",,,,,
"299","9022014009778","MELANDAHA","JAMALPUR",,"Thana","299",,,,,
"300","9022014003500","SARISHABARI","JAMALPUR",,"Thana","300",,,,,
"301","9022014012890","AUSTAGRAM","KISHORGONJ",,"Thana","301",,,,,
"302","9022014008864","BAJITPUR","KISHORGONJ",,"Thana","302",,,,,
"303","9022014009674","BHAIRAB","KISHORGONJ",,"Thana","303",,,,,
"304","9022014011567","HOSSAINPUR","KISHORGONJ",,"Thana","304",,,,,
"305","9022014009991","ITNA","KISHORGONJ",,"Thana","305",,,,,
