id,pos_id,position_name,subposition,status,code,order_id,type_code,gcode,level_edu,duration_typ,csbanew,rnm,pre,post,icode,scode
738,2032014235388,"Japan-Bangladesh Friendship Nursing Institute, Dha...",PRI46,,Institute,731,Private,Institute,60,,,,0,0,22245,
740,2032014236338,"Universal Nursing Institute, Mohakhali, Dhaka",PRI48,,Institute,733,Private,Institute,50,,,,0,0,22247,
741,2032014232217,"Kalihati Nursing Institute, Kalihati, Tangail",PRI49,,Institute,734,Private,Institute,50,,,,0,0,22248,
742,2032014234645,"Northern Institute of Nursing Science, Rangpur",PRI50,,Institute,735,Private,Institute,60,,,,0,0,22249,
743,2032014233424,"The Green Life Nursing Institute, Dinajpur",PRI51,,Institute,736,Private,Institute,50,,,,0,0,22250,
744,2032014232830,"Impact Nursing Institute, Amjhupi, Meherpur",PRI52,,Institute,737,Private,Institute,20,,,,0,0,22251,
745,2032014233069,"Family Welfare Visitors Training Institute, Azimpu...",FWV01,,Institute,738,Public,Institute,,,,,0,0,11244,
746,2032014239257,"Family Welfare Visitors Training Institute, Tangai...",FWV02,,Institute,739,Public,Institute,,,,,0,0,11245,
747,2032014241976,"Family Welfare Visitors Training Institute, Barisa...",FWV03,,Institute,740,Public,Institute,,,,,0,0,11246,
748,2032014232418,"Family Welfare Visitors Training Institute, Khulna",FWV04,,Institute,741,Public,Institute,,,,,0,0,11247,
749,2032014232646,"Family Welfare Visitors Training Institute, Dinajp...",FWV05,,Institute,742,Public,Institute,,,,,0,0,11248,
750,2032014234413,"Family Welfare Visitors Training Institute, Comill...",FWV06,,Institute,743,Public,Institute,,,,,0,0,11249,
751,2032014240622,"Family Welfare Visitors Training Institute, Bogra",FWV07,,Institute,744,Public,Institute,,,,,0,0,11250,
752,2032014238876,"Family Welfare Visitors Training Institute, Kushti...",FWV08,,Institute,745,Public,Institute,,,,,0,0,11251,
753,2032014236132,"Family Welfare Visitors Training Institute, Faridp...",FWV09,,Institute,746,Public,Institute,,,,,0,0,11252,
754,2032014240047,"Family Welfare Visitors Training Institute, Sylhet",FWV10,,Institute,747,Public,Institute,,,,,0,0,11253,
755,2032014232556,"Family Welfare Visitors Training Institute, Rangam...",FWV11,,Institute,748,Public,Institute,,,,,0,0,11254,
756,2032014236732,"Family Welfare Visitors Training Institute, Rajsha...",FWV12,,Institute,749,Public,Institute,,,,,0,0,11255,
757,2032014239759,"Radda Community Paramedic Institute, Dhaka",CP01,,Institute,750,Private,Institute,,,,,0,0,222118,
758,2032014241190,"Prokash Medical Institute, Gazipur",CP02,,Institute,751,Private,Institute,,,,,0,0,222119,
759,2032014235079,"Faridpur Community Paramedic Institute, Faridpur",CP03,,Institute,752,Private,Institute,,,,,0,0,222120,
760,2032014234603,"SIT Foundation Community Paramedic Institute, Bogr...",CP04,,Institute,753,Private,Institute,,,,,0,0,222121,
761,2032014235798,"AITAM Welfare Organization, Dhaka",CP05,,Institute,754,Private,Institute,,,,,0,0,222122,
763,2032014234808,"Dhaka Community Hospital, Dhaka",CP07,,Institute,756,Private,Institute,,,,,0,0,,
764,2032014238257,"RTM International, Shewrapara, Dhaka",CP08,,Institute,757,Private,Institute,,,,,0,0,222125,
765,2032014235995,"RTM International Community Paramedic Institute, S...",CP09,,Institute,758,Private,Institute,,,,,0,0,222126,
766,2032014234524,"Shimantik Institute of Human Resource Development,...",CP10,,Institute,759,Private,Institute,,,,,0,0,222127,
767,2032014240039,"Rangpur Community Paramedic Institute, Rangpur",CP11,,Institute,760,Private,Institute,,,,,0,0,222128,
768,2032014235451,"TMSS Community Paramedic Institute, Bogra (TCPI)",CP12,,Institute,761,Private,Institute,,,,,0,0,222129,
769,2032014238259,"Population Services and Training Centre, Dhaka (PS...",CP13,,Institute,762,Private,Institute,,,,,0,0,222130,
770,2032014241620,"DWF  Community Paramedic Institute, Patuakhali",CP14,,Institute,763,Private,Institute,,,,,0,0,222131,
772,2032014238455,"Chapai Nawabganj Community Paramedic Institute, Ch...",CP16,,Institute,765,Private,Institute,,,,,0,0,222133,
773,2032014240695,"Institute of Patuakhali Medical Technology (IPMT),...",CP18,,Institute,766,Private,Institute,,,,,0,0,222135,
